Target,Model,F1_Class_0,F1_Class_1,Precision,Accuracy,Recall,AUC_ROC
Type_of_Food_Allergy_Mammalian_Milk,XGBoost,0.9486765922249794,0.0,0.8916215573675883,0.903030303030303,0.0,0.7056451612903226
Type_of_Food_Allergy_Mammalian_Milk,LogisticRegression,0.930558621974295,0.06190476190476191,0.898076822757023,0.8727272727272727,0.1,0.6160282258064516
Type_of_Food_Allergy_Mammalian_Milk,SVM,0.7886360753153207,0.21752830502830506,0.9325073345049422,0.6727272727272727,0.75,0.7440524193548387
Type_of_Food_Allergy_Other_Legumes,RandomForest,0.8848762260840454,0.21374458874458874,0.7784791275753455,0.8,0.19,0.6225369458128078
Type_of_Food_Allergy_Other_Legumes,XGBoost,0.8722966055734049,0.20118548118548119,0.7737439826203267,0.7818181818181819,0.19,0.6023891625615764
Type_of_Food_Allergy_Other_Legumes,LogisticRegression,0.8599458077044284,0.2832683982683982,0.7895236861903527,0.7666666666666667,0.31500000000000006,0.6460344827586206
Type_of_Food_Allergy_Other_Legumes,SVM,0.5018800787466637,0.23657015148769273,0.7539204565062383,0.4,0.6449999999999999,0.517192118226601
Type_of_Food_Allergy_Peanut,RandomForest,0.7833889927464245,0.447916862605246,0.6896664652023503,0.690909090909091,0.4322222222222222,0.674873188405797
Type_of_Food_Allergy_Peanut,XGBoost,0.7686457722080637,0.42334926937975803,0.6726555378824639,0.6727272727272728,0.4222222222222222,0.6584702093397745
Type_of_Food_Allergy_Peanut,LogisticRegression,0.7419489127441844,0.38071645021645023,0.6401139119017906,0.6393939393939394,0.3888888888888889,0.6567391304347826
Type_of_Food_Allergy_Peanut,SVM,0.7505909355612164,0.35767787114845934,0.6417445323697787,0.6454545454545456,0.35,0.5924396135265699
Type_of_Food_Allergy_Shellfish,RandomForest,0.929846706010246,0.0,0.8071324313516396,0.8696969696969697,0.0,0.7017911877394636
Type_of_Food_Allergy_Shellfish,XGBoost,0.9241470003550774,0.21595959595959596,0.8463459658620949,0.8636363636363636,0.20833333333333331,0.7407088122605364
Type_of_Food_Allergy_Shellfish,LogisticRegression,0.9011103955662237,0.1638888888888889,0.8343220802494997,0.8242424242424242,0.18333333333333332,0.5811302681992336
Type_of_Food_Allergy_Shellfish,SVM,0.7660580901795011,0.21178071928071923,0.8383966317853785,0.6454545454545456,0.4583333333333333,0.6327586206896553
Type_of_Food_Allergy_Tree_Nuts,RandomForest,0.7252900838331755,0.5769735488266343,0.6799228267898956,0.6696969696969698,0.6006410256410257,0.7385958485958486
Type_of_Food_Allergy_Tree_Nuts,XGBoost,0.7155708128765418,0.5609733143590085,0.6658610631844518,0.6575757575757577,0.5865384615384615,0.7208058608058608
Type_of_Food_Allergy_Tree_Nuts,LogisticRegression,0.7238085441872348,0.5670834350834351,0.6684131016329159,0.6636363636363638,0.5858974358974358,0.6924725274725276
Type_of_Food_Allergy_Tree_Nuts,SVM,0.6332591505309958,0.4406429093145735,0.5684057824231622,0.5606060606060607,0.4512820512820513,0.5938431013431014
